"location","max_infection_count","population","max_infection_rate"
"Venezuela",540222.000,28199866.000,1.916
"Timor",23074.000,1320942.000,1.747
"Zambia",331925.000,19473125.000,1.705
"Zimbabwe",256539.000,15993524.000,1.604
"Lesotho",34206.000,2281454.000,1.499
"Djibouti",15690.000,1105557.000,1.419
"Mauritania",62708.000,4614974.000,1.359
"Bangladesh",2008870.000,169356251.000,1.186
"Myanmar",614389.000,53798084.000,1.142
"Equatorial Guinea",16892.000,1634466.000,1.033
"Comoros",8351.000,821626.000,1.016
"Rwanda",132357.000,13461888.000,0.983
"Cambodia",137236.000,16589023.000,0.827
"Mozambique",229887.000,32077072.000,0.717
"Uzbekistan",243537.000,34081449.000,0.715
"Pakistan",1562307.000,231402116.000,0.675
"Kenya",337950.000,53005614.000,0.638
"Algeria",269141.000,44177969.000,0.609
"Senegal",87752.000,16876720.000,0.520
"Ghana",168350.000,32833031.000,0.513
"Egypt",515645.000,109262178.000,0.472
"Afghanistan",189045.000,40099462.000,0.471
"Gambia",12238.000,2639916.000,0.464
"Papua New Guinea",44820.000,9949437.000,0.450
"Cameroon",120967.000,27198628.000,0.445
"Togo",38285.000,8644829.000,0.443
"Malawi",87711.000,19889742.000,0.441
"Congo",24837.000,5835806.000,0.426
"Guinea-Bissau",8452.000,2060721.000,0.410
"Ethiopia",492753.000,120283026.000,0.410
"Burundi",48002.000,12551213.000,0.382
"Uganda",169396.000,45853778.000,0.369
"Cote d'Ivoire",86151.000,27478249.000,0.314
"Angola",102636.000,34503774.000,0.297
"Haiti",32703.000,11447569.000,0.286
"Eritrea",10136.000,3620312.000,0.280
"Guinea",37470.000,13531906.000,0.277
"Central African Republic",14803.000,5457154.000,0.271
"Syria",56700.000,21324367.000,0.266
"Madagascar",66599.000,28915653.000,0.230
"Nicaragua",14872.000,6850540.000,0.217
"Benin",27316.000,12996895.000,0.210
"Tajikistan",17786.000,9750064.000,0.182
"South Sudan",17823.000,10748272.000,0.166
"Somalia",27020.000,17065581.000,0.158
"Liberia",7578.000,5193416.000,0.146
"Mali",31245.000,21904983.000,0.143
"Sudan",63128.000,45657202.000,0.138
"Nigeria",262520.000,213401323.000,0.123
"Macao",791.000,686607.000,0.115
"Burkina Faso",21128.000,22100683.000,0.096
"Democratic Republic of Congo",92456.000,95894118.000,0.096
"Sierra Leone",7741.000,8420641.000,0.092
"Saint Helena",4.000,5404.000,0.074
"China",921382.000,1425893464.000,0.065
"Tanzania",38205.000,63588334.000,0.060
"Chad",7444.000,17179740.000,0.043
"Yemen",11903.000,32981641.000,0.036
"Niger",9132.000,25252722.000,0.036
"North Korea",1.000,25971909.000,0.000
